Feature_Sayısı,F1_fail_mean,F1_fail_std,Recall_fail_mean,Recall_fail_std,Precision_fail_mean,PR_AUC_mean,PR_AUC_std,ROC_AUC_mean,F1_macro_mean,Süre_s
50,0.20854561260240773,0.045341014181402156,0.15380952380952378,0.03536656119548027,0.33983516483516485,0.2154562598954096,0.023404652638723714,0.7377495330265446,0.5839718834396471,3863.902935743332
100,0.19197144285000356,0.05253034608043559,0.12523809523809523,0.03890799660155333,0.5253968253968254,0.2415889462445656,0.04219692450277278,0.765734723455982,0.5778061451773054,4161.767972230911
150,0.18693703626740332,0.07099895980798189,0.1252380952380952,0.049202252773674245,0.4131168831168831,0.22519530816531233,0.03281740476121946,0.7296523580211456,0.5745955895298873,5019.2447299957275
