PCA_Varyans,Bileşen_Sayısı,F1_fail_mean,F1_fail_std,Recall_fail_mean,Recall_fail_std,Precision_fail_mean,PR_AUC_mean,PR_AUC_std,ROC_AUC_mean,F1_macro_mean,Süre_s
90%,1,0.15879223990925387,0.01861045138870551,0.4133333333333333,0.03593897574116801,0.09841241182429372,0.11204628050027972,0.027108448805983967,0.6009062958485558,0.4905757973022814,5142.528336048126
95%,2,0.1478468291429621,0.03140697124792578,0.35619047619047617,0.09477984993999793,0.09351534066527582,0.10092643624920487,0.02930654833429469,0.5579838657609942,0.49424610163297256,4106.625806093216
99%,2,0.1339414386039082,0.03828713747368125,0.3180952380952381,0.11358515440667105,0.08510954356382655,0.10596928572541305,0.027848268169526163,0.546796651149122,0.4881853750912352,4004.2991762161255
