Yöntem,Boyut,F1_fail,Recall,PR-AUC,ΔPR-AUC
Baseline (442 feat),442,0.1285,0.0771,0.1954,0.0
PCA 90%,1,0.15879223990925387,0.4133333333333333,0.11204628050027972,-0.08335371949972027
Top-100 Features,100,0.19197144285000356,0.12523809523809523,0.2415889462445656,0.0461889462445656
