Senaryo,Imputer,F1_macro_mean,F1_macro_std,F1_fail_mean,F1_fail_std,Recall_fail_mean,Recall_fail_std,ROC_AUC_mean,ROC_AUC_std,PR_AUC_mean,PR_AUC_std
median,SimpleImputer,0.5665091816924261,0.034812277548705826,0.17706989247311827,0.06548089139892266,0.13476190476190478,0.047034507523298075,0.7021175771257588,0.02996033919807587,0.17808554038298205,0.05474721553780185
knn,KNNImputer,0.5800066247604219,0.029889411194267034,0.2023896103896104,0.056531362811747456,0.15333333333333332,0.04551544055370865,0.687332184545238,0.011375884919383893,0.16210844072189898,0.032021921668487205
iterative,IterativeImputer,0.5800186500763151,0.047704461653045,0.2038343965975545,0.08674629007640562,0.15285714285714286,0.06238640470538025,0.7105773328079186,0.031220191422126932,0.18914897192670715,0.03560957563363326
