Model,F1_mean,F1_std,Recall_mean,Recall_std,Precision_mean,Precision_std,ROC_AUC_mean,ROC_AUC_std
XGBoost,0.2272471745877148,0.05910217302329511,0.41904761904761906,0.19319488357238854,0.18353606468943623,0.057934522586102176,0.7083130180399805,0.05039796421453967
LightGBM,0.15529381684314023,0.08961716881923658,0.14047619047619048,0.10042427004268162,0.21849991674991673,0.10950298698227977,0.7066796684544124,0.05173899868315201
RandomForest,0.21270594347755356,0.062116135799036416,0.40714285714285714,0.23593063664162495,0.17318027192948643,0.062355809163966734,0.7235332358199253,0.04181330454894673
