Senaryo,Strateji,F1_macro_mean,F1_macro_std,F1_fail_mean,F1_fail_std,Recall_fail_mean,Recall_fail_std,Precision_fail_mean,Precision_fail_std,ROC_AUC_mean,ROC_AUC_std,PR_AUC_mean,PR_AUC_std,Süre_s
baseline,scale_pos_weight (14.07),0.49071570648623686,0.01913783302054315,0.01818181818181818,0.03636363636363636,0.009523809523809523,0.019047619047619046,0.2,0.4000000000000001,0.710182848771843,0.03879310538030538,0.16948400998310023,0.03451437130200672,4447.1859221458435
smote,SMOTE,0.5463125365497399,0.03362579939458223,0.1285148024278459,0.06489956102669413,0.07714285714285714,0.03861549510993008,0.4704761904761904,0.34039326329430364,0.7053635491318412,0.037161605362177566,0.1954141587931265,0.038006109475452694,4910.262594938278
adasyn,ADASYN,0.5203835711884985,0.03509052950916567,0.0782962962962963,0.06905181847798506,0.04857142857142857,0.04368512358544653,0.22380952380952382,0.19610724078070477,0.7153635713951765,0.037333655075028754,0.16644252821463806,0.0080615087083232,4403.145859956741
undersampling,Random Undersampling,0.4811028191038395,0.011453958377681726,0.1812314258750126,0.015977970250175496,0.5766666666666667,0.07108488745499844,0.10762252216797671,0.009290072743838548,0.6630860989961462,0.03938080311453884,0.15104205874480875,0.04672288985565723,4030.094139099121
smote_tomek,SMOTE + Tomek Links,0.5291916906799801,0.029222789585730248,0.09559643255295429,0.05683268362423772,0.05809523809523809,0.036688305303348996,0.3133333333333333,0.16812693617224653,0.6959463587202144,0.0437847172578886,0.17008712497662404,0.01737900687674302,3926.4644479751587
