fold,f1_macro,f1_fail,recall_fail,precision_fail,pr_auc,roc_auc,TP,FN,FP,TN
1,0.5981624282198523,0.2641509433962264,0.3333333333333333,0.21875,0.1630267247853834,0.7682431334308467,7,14,25,268
2,0.607850133809099,0.2631578947368421,0.23809523809523808,0.29411764705882354,0.21158446858198945,0.7128230131643101,5,16,12,281
3,0.6615484429065743,0.375,0.45,0.32142857142857145,0.3082571697870451,0.8030716723549488,9,11,19,274
4,0.5661285061969994,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19897128869311945,0.643672537508154,4,17,17,275
5,0.587977182974989,0.23255813953488372,0.23809523809523808,0.22727272727272727,0.2658173690867814,0.7519569471624267,5,16,17,275
