fold,best_threshold,accuracy,f1_macro,f1_fail,recall_fail,precision_fail,roc_auc,pr_auc,f1_fail_default,recall_fail_default
1,0.42000000000000004,0.9171974522292994,0.5449275362318841,0.13333333333333333,0.09523809523809523,0.2222222222222222,0.737851454575004,0.15104833296759063,0.07407407407407407,0.047619047619047616
2,0.06999999999999999,0.8598726114649682,0.5820931639443436,0.2413793103448276,0.3333333333333333,0.1891891891891892,0.7349260523321958,0.24450710600246917,0.16,0.09523809523809523
3,0.26,0.8945686900958466,0.5693558474046279,0.1951219512195122,0.2,0.19047619047619047,0.7097269624573379,0.21371586606465104,0.13793103448275862,0.1
4,0.03,0.6900958466453674,0.48334893218752656,0.1565217391304348,0.42857142857142855,0.09574468085106383,0.5892041748206132,0.12058716928016663,0.08695652173913043,0.047619047619047616
5,0.060000000000000005,0.7859424920127795,0.514706222664476,0.1518987341772152,0.2857142857142857,0.10344827586206896,0.6681343770384867,0.10834025131959667,0.07692307692307693,0.047619047619047616
