metric,mean,std
accuracy,0.9310697787997801,0.006725050725791971
f1_macro,0.5463125365497399,0.03759478662202858
f1_fail,0.1285148024278459,0.07255991508279207
recall_fail,0.07714285714285714,0.04317343602530719
precision_fail,0.4704761904761904,0.38057123790452346
roc_auc,0.7053635491318412,0.04154793787142486
pr_auc,0.1954141587931265,0.04249212217370555
