fold,accuracy,f1_macro,f1_fail,recall_fail,precision_fail,roc_auc,pr_auc
1,0.9363057324840764,0.5667770419426049,0.16666666666666666,0.09523809523809523,0.6666666666666666,0.7443523484479115,0.2329182201481993
2,0.9394904458598726,0.5712540424002874,0.17391304347826086,0.09523809523809523,1.0,0.7020965382740126,0.19773622203629723
3,0.9265175718849841,0.5548754096333395,0.14814814814814814,0.1,0.2857142857142857,0.6941979522184301,0.23226638184194848
4,0.9297124600638977,0.5585897435897436,0.15384615384615385,0.09523809523809523,0.4,0.6433463796477495,0.12957494543427778
5,0.9233226837060703,0.48006644518272423,0.0,0.0,0.0,0.7428245270711025,0.18457502450490973
