metric,mean,std
accuracy,0.8295354184896523,0.09243652049884443
f1_macro,0.5388863404865716,0.040313764118595406
f1_fail,0.1756510136410646,0.0430703273362906
recall_fail,0.26857142857142857,0.12731306602248393
precision_fail,0.1602161117201469,0.05696275517884756
roc_auc,0.6879686042447275,0.061875956413634456
pr_auc,0.16763974512689483,0.05923945033864748
